403996,$0,6,26,,''
404001,$0,0,35,,''
404028,$0,0,23,,''
404033,$103.66000000000001,6,42,42,''
404043,$0,0,34,,''
404098,$6,3,31,34,''
404134,$100,2,63,,''
404141,$1000000,3,53,52,''
404155,$1300000,5,34,,''
404201,$647275,8,57,65,''
404263,$812600,8,54,47,''
404267,$98,3,39,,''
404326,$565113,10,37,32,''
404366,$1700000,8,42,41,''
404375,$1371066.2551560001,3,80,,''
404458,$100,5,33,,''
404468,$178000,2,34,,''
404622,$234765,5,35,,''
404671,$506000,4,55,,''
404730,$500,6,52,57,''
404741,$0,0,61,35,''
404753,$2016000,6,54,52,''
404786,$0,0,40,,''
405031,$0,3,27,,''
405145,$0,0,55,,''
405177,$3646460.000000001,7,59,,''
405178,$0,0,25,,''
405221,$0,0,52,50,''
405292,$420000,3,35,,''
405299,$187999.99999999997,4,73,72,''
405301,$0,0,35,,''
405335,$0,4,28,,''
405363,$3100000,5,34,32,''
405407,$3246720,5,60,60,''
405467,$0,0,62,65,''
405475,$2300000,6,50,46,''
405495,$0,0,30,,''
405502,$840000,6,53,16,''
405617,$2800280,12,58,54,''
405819,$95,2,35,32,''
405964,$0,0,60,59,''
406001,$0,0,60,59,''
406059,$400,5,34,42,''
406066,$1497000,6,47,,''
406125,$0,0,65,,''
406217,$827985,12,41,37,''
406345,$100,3,34,2,''
406380,$1587270,6,51,50,''
406443,$0,11,35,,''
406482,$400000,10,52,46,''
406498,$0,0,66,,''
406526,$5200000,6,51,43,''
406529,$0,1,36,33,''
406534,$0,0,41,,''
406555,$200848.552847,10,38,,''
406625,$0,0,44,43,''
406653,$0,8,42,39,''
406691,$3564000,3,71,,''
406695,$0,0,58,56,''
406698,$1500000,6,47,,''
406798,$0,0,66,,''
406817,$100,2,67,,''
406837,$0,0,32,,''
406860,$0,1,31,,''
406862,$0,0,55,1,''
406878,$7200000,8,60,58,''
406897,$454954.5,4,44,,''
406901,$0,0,41,25,''
406945,$232200,2,41,,''
