331852,$91.14000000000001,10,45,,91.13999999999999,''
331878,$100,5,41,41,400,''
331973,$2897100,4,59,57,99.9,''
331976,$101,3,78,79,101,''
332056,$99.8,4,64,,99.80000000000001,''
332081,$100,6,31,31,100,''
332108,$588165.583387,5,39,,97.49000000000001,''
332181,$540000,4,47,,100,''
332263,$50,1,37,36,50,''
332295,$100,3,43,,100,''
332404,$99.99999999999999,4,42,,300,''
332416,$116.18999999999998,13,,,116.19,''
332541,$100,5,37,,200,''
332582,$100,5,36,34,100,''
332937,$237725,5,36,36,95.09,''
333319,$262280,4,37,34,100,''
333351,$100,5,41,38,100,''
333381,$100,8,36,,100,''
333456,$392250,5,49,44,78.44999999999999,''
333477,$100,6,44,,100,''
333550,$1150000,1,43,,100,''
333634,$1.4,1,57,55,1.4,''
333736,$400000,3,34,,100,''
333775,$100.7,12,34,36,100.70000000000002,''
333951,$99.98,4,29,,99.97999999999999,''
333964,$103000,2,37,,106,''
334093,$100,7,32,31,0.03333333333333333,''
334152,$99,5,36,,99,''
334191,$149850,7,32,30,99.9,''
334194,$800000,13,38,36,100,''
334212,$100,3,56,,100,''
334219,$20588.49324,4,35,,99.97,''
334229,$360,2,27,,6,''
334232,$100,5,33,,100,''
334258,$100,6,33,,400,''
334273,$492000,6,65,69,65.6,''
334355,$27,3,61,,27,''
334363,$100,2,32,29,100,''
334405,$114,4,32,,114,''
334409,$100,3,24,,100,''
334745,$114,1,42,,114,''
334762,$212305.99999999997,4,32,,100,''
334851,$100,3,36,,100,''
334947,$11040,4,37,36,46,''
334971,$2500000,8,35,35,100,''
335021,$210125,4,36,33,106,''
335059,$70000,3,32,,100,''
335220,$103000,3,37,,106,''
335431,$99,4,29,30,99,''
335442,$140217,6,28,,86.6,''
335498,$100,3,,,200,''
335573,$500000,6,40,40,100,''
335697,$100,3,30,,200,''
335870,$2300000,11,60,,100,''
335930,$100,5,,,100,''
335941,$181200,5,37,,93.9,''
336011,$200200,7,38,,85,''
336047,$100.00000000000001,5,35,42,100.00000000000001,''
336216,$100,2,65,,200,''
336325,$4500000,9,46,46,200,''
336332,$250000,4,34,,100,''
336394,$2950000,10,38,30,99.99999999999999,''
336424,$100,4,29,30,100,''
336532,$260000,8,30,,100,''
336642,$134067.5,2,40,,100.01,''
336681,$2714400,5,50,50,100,''
336722,$120000,2,36,,20,''
336830,$595500,4,40,,79.39999999999999,''
336843,$101.69,7,44,40,101.68999999999998,''
336913,$3.85,7,40,,77,''
336961,$1558000,6,47,,98.69999999999999,''
337015,$2497500,6,39,38,99.90000000000002,''
337248,$2.5000000000000004,7,41,65,99.99999999999999,''
337343,$100,3,31,,100,''
337453,$675000,5,44,41,90,''
337488,$1562000,9,43,42,100,''
337574,$500000,5,44,44,100,''
337590,$92.8,4,28,,92.8,''
337624,$100,4,34,,100,''
337632,$650650,10,38,36,100.1,''
337678,$7500000,10,59,57,125,''
337727,$344400,7,34,30,200,''
337786,$103.7,6,48,16,103.7,''
337803,$2644000,8,50,50,100,''
337838,$100.00000000000003,3,,,299.97999999999996,''
337882,$100,5,40,3,100,''
337946,$100,5,46,,100,''
337987,$1485000,5,46,,99,''
337994,$1245200,7,35,35,113.2,''
338095,$100,1,75,70,100,''
338125,$3100000,6,45,55,100.00000000000001,''
338235,$300000,5,25,,100,''
338419,$1803520,9,60,55,100.04,''
338455,$69,6,32,32,69,''
338530,$108000,2,57,54,6,''
338702,$100,2,29,,200,''
338787,$2600000,5,66,,269.5,''
338822,$210125,4,36,33,106,''
338823,$100,2,39,,199,''
338964,$1265920,10,45,,101,''
338966,$7.008000000000001,6,60,59,7.008000000000002,''
339042,$1086050,4,55,52,174.89999999999998,''
339166,$163734.22672,7,54,57,97.30600000000001,''
339220,$92660,3,29,27,100,''
